HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6853.422513, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6854.556464, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6855.690415, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6856.824367, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6857.958318, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6859.092270, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6860.226221, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6861.360173, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6862.494124, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6863.628076, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6864.762027, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6865.895979, 725.790861
HS[243.703482], V, HS[261.876431], BB[220.210948], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6867.029930, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6868.163882, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6869.297833, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6870.431784, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6871.565736, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6872.699687, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6873.833639, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6874.967590, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6876.101542, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6877.235493, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6878.369445, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6879.503396, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6880.637348, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6881.771299, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6882.905251, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6884.039202, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6885.173154, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6886.307105, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196707], 6887.441056, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6888.575008, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6889.708959, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6890.842911, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6891.976862, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6893.110814, 725.790862
